"site","counts"
"DHK_X4283","1"
"BAR_X0397","91"
"BAR_G0320","4"
"BAR_G0418","28"
"BAR_W0486","8"
"BAR_R0450","2"
"BAR_X0198","8"
"BAR_X0344","2"
"BAR_X0024","1"
"BAR_G0287","11"
"BAR_G0414","2"
"BAR_X0167","16"
"BAR_G0259","56"
"BAR_R0595","11"
"BAR_G0286","4"
"BAR_X0163","2"
"BAR_X0457","6"
"BAR_X0253","4"
"BAR_X0042","3"
"BAR_G0420","9"
"BAR_G0266","3"
"BAR_X0305","5"
"BAR_X0205","6"
"BAR_R0426","6"
"BAR_X0213","17"
"BAR_X0204","15"
"BAR_X0380","12"
"BAR_G0382","13"
"BAR_X0159","4"
"BAR_X0456","3"
"BAR_G0275","6"
"BAR_X0099","15"
"BAR_X0363","10"
"BAR_X0165","5"
"BAR_X0063","2"
"BAR_G0057","16"
"CTG_R1902","6"
"CTG_R1793","15"
"CTG_W0714","53"
"CTG_R1906","4"
"CTG_R1875","13"
"CTG_R1767","80"
"CTG_G0767","17"
"CTG_W1388","1"
"CTG_X0726","18"
"CTG_G1241","47"
"CTG_R0368","44"
"CTG_G1282","1"
"CTG_G1285","5"
"CTG_R1703","4"
"CTG_X1690","8"
"CTG_X1337","1"
"CTG_G1235","38"
"CTG_X1162","4"
"CTG_X1594","3"
"CTG_X0405","1"
"CTG_G1513","7"
"CTG_X0854","6"
"CTG_X0685","2"
"CTG_G1634","7"
"CTG_X0669","8"
"CTG_G1395","28"
"CTG_X0096","4"
"CTG_G1677","71"
"CTG_G1520","5"
"CTG_X1917","49"
"CTG_R1823","10"
"CTG_X0878","9"
"CTG_X1661","11"
"CTG_G1907","1"
"CTG_G1848","2"
"CTG_X0910","3"
"CTG_R1921","8"
"CTG_G1150","3"
"CTG_X1644","10"
"CTG_G0250","10"
"CTG_R0309","14"
"CTG_W1909","2"
"DHK_G4911","3"
"DHK_X3517","19"
"DHK_X0653","2"
"DHK_X3419","2"
"DHK_X5632","2"
"DHK_X1933","6"
"DHK_G6241","1"
"DHK_G6069","32"
"DHK_X1606","1"
"DHK_X1546","2"
"DHK_G3854","9"
"DHK_X4939","18"
"DHK_R1898","1"
"DHK_X0195","16"
"DHK_G3798","19"
"DHK_X0991","1"
"DHK_X3678","5"
"DHK_X2536","14"
"DHK_X0376","16"
"DHK_X0648","2"
"DHK_X4133","1"
"DHK_R4233","50"
"DHK_W6253","12"
"DHK_X2233","4"
"DHK_X4367","12"
"DHK_X4068","8"
"DHK_R5462","9"
"DHK_X4056","9"
"DHK_X4151","8"
"DHK_R2807","4"
"DHK_X1088","49"
"DHK_X3503","1"
"DHK_X3690","19"
"DHK_X1957","20"
"DHK_X1117","6"
"DHK_X2067","23"
"DHK_X0418","23"
"DHK_X0860","22"
"DHK_X0303","4"
"DHK_X1949","14"
"DHK_X0343","4"
"DHK_X2075","1"
"DHK_X3890","8"
"DHK_X0649","7"
"DHK_X2068","1"
"DHK_R5589","8"
"DHK_X1951","2"
"DHK_R1646","1"
"DHK_X1969","17"
"DHK_X0291","4"
"DHK_X1098","1"
"DHK_X1826","2"
"DHK_X0462","2"
"DHK_X4020","2"
"DHK_X0461","2"
"DHK_X0346","1"
"DHK_R1286","13"
"DHK_W5171","3"
"DHK_X0066","2"
"DHK_X0398","5"
"DHK_R4244","13"
"DHK_R6190","74"
"DHK_R5208","13"
"DHK_G3853","80"
"DHK_G4424","20"
"DHK_W5597","2"
"DHK_X1616","8"
"DHK_G5535","31"
"DHK_X5242","7"
"DHK_G5541","7"
"DHK_X3240","84"
"DHK_X2292","1"
"DHK_G6180","13"
"DHK_X4361","1"
"DHK_X4101","26"
"DHK_X4765","12"
"DHK_G4666","5"
"DHK_W2858","3"
"DHK_X2943","4"
"DHK_X4723","5"
"DHK_X1914","3"
"DHK_X2809","3"
"DHK_X3525","6"
"DHK_G3655","27"
"DHK_X0669","5"
"DHK_X5205","2"
"DHK_X2046","11"
"DHK_X1869","2"
"DHK_X4327","14"
"DHK_X0554","14"
"DHK_X0535","8"
"DHK_X2737","6"
"DHK_G5200","53"
"DHK_X3823","1"
"DHK_X2220","2"
"DHK_R4240","14"
"DHK_G4213","4"
"DHK_X5615","1"
"DHK_R5291","204"
"DHK_X5228","20"
"DHK_X5258","31"
"DHK_X2593","11"
"DHK_R2877","12"
"DHK_G5501","14"
"DHK_G4164","102"
"DHK_X2528","5"
"DHK_X0610","1"
"DHK_W2568","2"
"DHK_R6123","5"
"DHK_X1004","1"
"DHK_X4371","5"
"DHK_R0993","2"
"DHK_X0990","6"
"DHK_R3148","7"
"DHK_X1793","5"
"DHK_X5594","31"
"DHK_R2743","1"
"DHK_X0525","1"
"DHK_X1626","6"
"DHK_X2604","1"
"DHK_X0397","6"
"DHK_X1619","1"
"DHK_X3273","8"
"DHK_W2184","7"
"DHK_X2156","5"
"DHK_X1196","9"
"DHK_R2731","9"
"DHK_X0453","13"
"DHK_X1051","14"
"DHK_G6078","1"
"DHK_X0206","2"
"DHK_R6157","1"
"DHK_G2842","2"
"DHK_G2195","1"
"DHK_X3304","38"
"DHK_R3701","65"
"KHU_X0017","8"
"KHU_G0500","142"
"KHU_X0566","4"
"KHU_G1163","9"
"KHU_X1064","4"
"KHU_X0262","3"
"KHU_X1382","1"
"KHU_G0919","16"
"KHU_G1235","17"
"KHU_G1101","28"
"KHU_X0206","12"
"KHU_G0903","43"
"KHU_G1548","38"
"KHU_G1518","20"
"KHU_G1491","1"
"KHU_X0583","2"
"KHU_R1290","2"
"KHU_X0526","39"
"KHU_X0675","7"
"KHU_X0834","3"
"KHU_X0281","1"
"KHU_R1277","14"
"KHU_W1011","39"
"KHU_X1272","15"
"KHU_R1427","8"
"KHU_X0290","70"
"KHU_X0478","34"
"KHU_X0663","7"
"KHU_X0570","2"
"KHU_G1108","1"
"KHU_R1511","21"
"KHU_G1379","2"
"KHU_R1551","2"
"KHU_X0800","3"
"KHU_W0805","18"
"KHU_X0851","2"
"KHU_R1542","5"
"KHU_X1184","1"
"RAJ_G0889","39"
"RAJ_X0014","11"
"RAJ_G1223","8"
"RAJ_X1225","2"
"RAJ_G0974","5"
"RAJ_W0689","1"
"RAJ_W1194","2"
"RAJ_X0623","1"
"RAJ_G1178","32"
"RAJ_G1478","59"
"RAJ_G1483","45"
"RAJ_G0878","6"
"RAJ_G0785","1"
"RAJ_G0553","4"
"RAJ_G1623","2"
"SYL_G0421","6"
"SYL_G0406","1"
"SYL_G0467","17"
"SYL_X0144","1"
"SYL_X0554","5"
"SYL_X0393","13"
"SYL_X0502","1"
"SYL_X0293","1"
"SYL_G0440","8"
"SYL_X0054","1"
"BAR_X0280A","1"
"BAR_X0280","1"
"BAR_G0377","15"
"BAR_X0037","3"
"BAR_G0290","53"
"BAR_G0390","16"
"BAR_W0360","1"
"BAR_G0303","1"
"BAR_X0125","10"
"BAR_X0184","3"
"CTG_G1272","3"
"CTG_X0062","1"
"CTG_X0525","3"
"CTG_R1818","12"
"CTG_X0012","3"
"CTG_G0668","33"
"CTG_G1400","61"
"CTG_X0236","5"
"CTG_X1591","9"
"CTG_X1629","2"
"CTG_G1521","44"
"CTG_X0541","1"
"CTG_X0300","5"
"CTG_X2010","24"
"CTG_X1171","1"
"CTG_G1067","70"
"CTG_G1120","2"
"CTG_W1578","11"
"CTG_X0234","2"
"CTG_X0494","4"
"CTG_R2415","33"
"CTG_W0102","8"
"CTG_W1315","2"
"CTG_X0645","1"
"DHK_R4685","2"
"DHK_X4021","18"
"DHK_X4934","5"
"DHK_X4854","5"
"DHK_X1697","14"
"DHK_R0981","18"
"DHK_X0123","1"
"DHK_X4402","3"
"DHK_X4234","2"
"DHK_X0732","1"
"DHK_X0148","2"
"DHK_X0405","6"
"DHK_R4292","2"
"DHK_R3151","5"
"DHK_X5590","5"
"DHK_X0184","24"
"DHK_X3866","13"
"DHK_R5595","97"
"DHK_X1041","2"
"DHK_X1111","3"
"DHK_R6583","4"
"DHK_X1008","1"
"DHK_X0127","6"
"DHK_G3330","30"
"DHK_X1095","12"
"DHK_X1683","15"
"DHK_X5521","3"
"DHK_G5245","3"
"DHK_X5585","9"
"DHK_G3888","10"
"DHK_R4254","3"
"DHK_X0495","3"
"DHK_G4684","15"
"DHK_X2670","7"
"DHK_R6091","2"
"DHK_G5571","1"
"DHK_X1771","1"
"DHK_G3855","2"
"DHK_X3327","3"
"DHK_X0536","5"
"DHK_X3657","9"
"DHK_X3565","10"
"DHK_X4742","3"
"DHK_X4896","3"
"DHK_X5648","5"
"DHK_W0846","2"
"DHK_X2082","3"
"DHK_G3785","4"
"DHK_X1776","2"
"DHK_X3279","3"
"DHK_G0966","4"
"DHK_X1188","1"
"DHK_X2047","3"
"DHK_R5078","4"
"DHK_X2137","1"
"DHK_X4076","1"
"DHK_X3731","3"
"DHK_G5023","13"
"DHK_G3834","12"
"DHK_X4003","1"
"DHK_R4752","31"
"DHK_G3721","2"
"DHK_X0334","4"
"DHK_X4153","10"
"DHK_R2570","47"
"DHK_X2640","3"
"DHK_R3959","2"
"DHK_G3631","4"
"DHK_X4399","10"
"DHK_G5523","11"
"DHK_X5555","5"
"DHK_G4467","10"
"DHK_G3390","25"
"DHK_G4116","3"
"DHK_X1604","13"
"DHK_X1165","14"
"DHK_G2874","45"
"DHK_X5510","13"
"DHK_X5525","8"
"DHK_R3386","10"
"DHK_G5275","2"
"DHK_X1195","3"
"DHK_X2752","6"
"DHK_X5274","3"
"DHK_G3205","4"
"DHK_X2840","1"
"DHK_X3405","10"
"DHK_G4130","24"
"DHK_X5176","4"
"DHK_G2444","13"
"DHK_R2445","4"
"DHK_X3816","6"
"DHK_X3241","2"
"DHK_X0873","3"
"DHK_X0676","1"
"DHK_X0589","1"
"DHK_X2243","3"
"DHK_X2043","2"
"DHK_R3915","33"
"DHK_X2678","36"
"DHK_G4603","3"
"DHK_G2833","12"
"DHK_G5231","6"
"DHK_X2011","5"
"DHK_G3807","6"
"DHK_W5137","1"
"DHK_R5054","2"
"DHK_X2788","8"
"DHK_W3833","1"
"DHK_G5250","1"
"DHK_G2872","1"
"DHK_X2936","4"
"DHK_X2502","17"
"KHU_G1464","22"
"KHU_X0564","6"
"KHU_X0668","12"
"KHU_G0985","8"
"KHU_X0944","19"
"KHU_X1072","14"
"KHU_R0011","21"
"KHU_X1202","2"
"KHU_G1014","1"
"KHU_G1225","5"
"KHU_X0261","2"
"KHU_X0893","5"
"RAJ_G1124","14"
"RAJ_G1765","10"
"RAJ_X0033","2"
"RAJ_X1281","9"
"RAJ_G0858","1"
"RAJ_R1660","2"
"RAJ_G0900","4"
"RAJ_G1485","56"
"RAJ_G1024","2"
"RAJ_X0079","6"
"SYL_X0135","3"
"SYL_X0013","2"
"SYL_G0302","19"
"SYL_G0507","4"
"SYL_X0097","3"
"SYL_X0015","1"
"SYL_X0026","6"
"SYL_G0296","5"
"SYL_X0006","16"
"SYL_R0588","6"
"SYL_G0619","8"
"BAR_G0157","5"
"BAR_X0191","2"
"BAR_X0039","4"
"BAR_X0386","3"
"CTG_R1827","19"
"CTG_R0026","12"
"CTG_R1184","9"
"CTG_X0141","4"
"CTG_X0185","3"
"CTG_X0438","3"
"CTG_R0021","4"
"CTG_G1258","6"
"CTG_G1259","31"
"CTG_G1273","2"
"CTG_X0086","3"
"CTG_X0025","2"
"CTG_X0059","4"
"CTG_R1794","4"
"CTG_G1238","2"
"CTG_R1973","25"
"CTG_X0308","3"
"CTG_R1729","1"
"CTG_X1758","1"
"CTG_G1343","6"
"CTG_X0466","1"
"CTG_G1261","1"
"CTG_G1256","2"
"CTG_X1341","1"
"CTG_X1730","1"
"CTG_X1596","1"
"CTG_G1292","8"
"CTG_X0813","6"
"CTG_X1391","20"
"CTG_X0819","3"
"CTG_X0232","7"
"CTG_X1368","7"
"CTG_X1657","8"
"CTG_X0646","21"
"CTG_X0037","13"
"CTG_X1070","2"
"CTG_X1386","3"
"CTG_W1864","25"
"CTG_G1129","1"
"CTG_X0036","10"
"CTG_X0511","3"
"CTG_X0691","2"
"CTG_X0088","2"
"CTG_X0038","2"
"CTG_X0481","5"
"CTG_X0808","2"
"CTG_G1835","4"
"CTG_X1589","2"
"CTG_X0352","11"
"CTG_G1101","1"
"CTG_R0160","5"
"CTG_R2049","6"
"CTG_X0331","12"
"CTG_X1025","12"
"CTG_X0817","3"
"CTG_X0852","5"
"CTG_X0664","5"
"DHK_X2025","8"
"DHK_X0128","4"
"DHK_X4211","1"
"DHK_X4633","4"
"DHK_X2289","1"
"DHK_X4644","2"
"DHK_X4178","1"
"DHK_X0832","1"
"DHK_G0876","2"
"DHK_X2684","7"
"DHK_X3486","8"
"DHK_X0316","1"
"DHK_X1603","1"
"DHK_X1136","5"
"DHK_G3446","20"
"DHK_R3146","2"
"DHK_X4813","2"
"DHK_R4224","10"
"DHK_X3822","10"
"DHK_R2636","24"
"DHK_X0409","54"
"DHK_R4088","4"
"DHK_X4325","3"
"DHK_X2232","19"
"DHK_X0852","19"
"DHK_X0645","17"
"DHK_X0105","41"
"DHK_G4175","6"
"DHK_W3817","5"
"DHK_R2971","7"
"DHK_G3699","27"
"DHK_X3432","4"
"DHK_X4231","6"
"DHK_R2371","18"
"DHK_G4124","6"
"DHK_X0839","2"
"DHK_R1159","1"
"DHK_G5288","9"
"DHK_X0133","1"
"DHK_R2696","3"
"DHK_G5587","13"
"DHK_X1765","14"
"DHK_R4239","6"
"DHK_G3583","9"
"DHK_R3264","6"
"DHK_X1666","5"
"DHK_G4118","9"
"DHK_X2859","7"
"DHK_X4255","2"
"DHK_G2836","2"
"DHK_X0486","8"
"DHK_X3353","1"
"DHK_X4207","17"
"DHK_X3348","11"
"DHK_X1715","20"
"DHK_X0136","2"
"DHK_G3885","21"
"DHK_G4150","2"
"DHK_G3889","1"
"DHK_X3643","1"
"DHK_G3456","1"
"DHK_X2167","4"
"DHK_X2059","1"
"DHK_W3620","1"
"KHU_X0189","4"
"KHU_X0481","4"
"KHU_G1144","2"
"KHU_R1610","39"
"KHU_G1025","2"
"KHU_X0433","1"
"KHU_X1361","3"
"KHU_G1362","3"
"KHU_W0997","9"
"KHU_R1498","5"
"KHU_W0469","5"
"KHU_R1546","7"
"KHU_X1016","9"
"KHU_W1032","5"
"KHU_G1482","1"
"RAJ_G0802","24"
"RAJ_G1107","23"
"RAJ_G1009","4"
"RAJ_G0822","17"
"RAJ_G0787","4"
"RAJ_G1484","1"
"RAJ_G1177","6"
"RAJ_X1441","11"
"RAJ_X0349","6"
"SYL_X0036","1"
"SYL_X0639","8"
"SYL_X0113","11"
"SYL_X0057","6"
"BAR_X0028","19"
"BAR_G0398","7"
"BAR_G0379","12"
"BAR_G0458","7"
"BAR_X0296","3"
"BAR_X0027","9"
"BAR_G0269","26"
"BAR_X0454","8"
"BAR_R0455","2"
"BAR_G0530","6"
"BAR_X0183","4"
"BAR_G0273","14"
"BAR_X0389","5"
"BAR_X0132","2"
